run,variant,batch_size,seed,abm,metric,step,value
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,30,33.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,31,38.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,32,42.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,33,48.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,34,57.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,35,67.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,36,84.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,37,108.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,38,143.0
adaboba 128 abm1,aboba,128,seed2,1,adaptive_batch/batch_size,39,193.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,2,10.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,3,10.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,4,11.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,5,11.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,6,12.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,7,12.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,8,12.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,9,12.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,10,13.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,11,13.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,12,13.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,13,14.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,14,14.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,15,14.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,16,15.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,17,15.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,18,16.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,19,16.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,20,17.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,21,18.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,22,19.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,23,20.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,24,21.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,25,22.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,26,24.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,27,26.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,28,27.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,29,30.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,30,34.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,31,37.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,32,42.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,33,48.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,34,57.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,35,67.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,36,83.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,37,107.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,38,141.0
adaboba 128 abm1,aboba,128,seed3,1,adaptive_batch/batch_size,39,193.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,2,10.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,3,10.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,4,11.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,5,11.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,6,12.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,7,12.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,8,12.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,9,12.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,10,13.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,11,13.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,12,13.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,13,14.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,14,14.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,15,14.0
